what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321586076829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586078803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586079690
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321586081934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586081963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586084781
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321586114902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586145533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586147780
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321586150332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586150401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586155195
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321586157534
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1321586165956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1321586170419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586180720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586182628
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321586185205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586185249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586243193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586246112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586287173
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321586287269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321586320827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587279292
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321587283808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587284158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587313876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587315005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587334746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587337220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587351187
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321587354586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321587374246
