what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825427153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825427832
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321825427894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825510276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825513991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825515806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825520899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825522058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825524228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825524820
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321825524900
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825571503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825577429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825578452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825580429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321825580981
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321825581042
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825690520
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825690571
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825692200
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825692264
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825693251
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321825693346
